Tipo;Nombre;Descripción;Región;Clima
urbano;Oviedo;Capital de Asturias con arquitectura histórica;Asturias;Templado
natural;Cangas de Onís;Puente Romano y naturaleza en Picos de Europa;Asturias;Montañoso
urbano;Gijón;Ciudad costera con playa y patrimonio cultural;Asturias;Marítimo
natural;Llanes;Playas, acantilados y rutas de senderismo;Asturias;Marítimo
natural;Parque Natural de Somiedo;Montañas, lagos y fauna autóctona;Asturias;Frío
urbano;Avilés;Casco antiguo y centro cultural Niemeyer;Asturias;Templado
natural;Cabo Peñas;Miradores con vistas al mar Cantábrico;Asturias;Ventoso
natural;Lagos de Covadonga;Lagos glaciares en los Picos de Europa;Asturias;Frío
urbano;Ribadesella;Pueblo costero conocido por el Descenso del Sella;Asturias;Marítimo
natural;Parque Natural de Redes;Bosques y rutas de senderismo;Asturias;Frío
